BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Exp Realty;Multi-family home for sale;600000;4;2.0;1728.0;4217 Seton Ave;Bronx, NY 10466;4217 Seton AveBronx, NY 10466;United States;New York;Bronx County;The Bronx;Seton Avenue;4217 Seton Ave, Bronx, NY 10466, USA;40.896179;-73.839487
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;599000;3;1.0;1340.0;111-20 145th St;Jamaica, NY 11435;111-20 145th StJamaica, NY 11435;;New York;Queens County;Queens;145th Street;11120 145th St, Jamaica, NY 11435, USA;40.6860975;-73.7998859
Brokered by Voro Llc;Multi-family home for sale;599000;5;2.0;2268.0;716 Decatur St;Brooklyn, NY 11233;716 Decatur StBrooklyn, NY 11233;United States;New York;Kings County;Brooklyn;Decatur Street;716 Decatur St, Brooklyn, NY 11233, USA;40.6835248;-73.9141078
Brokered by Fillmore Real Estate;Condo for sale;725000;3;2.0;1185.0;1322 E 14th St Apt 4B;Brooklyn, NY 11230;1322 E 14th St Apt 4BBrooklyn, NY 11230;New York;Kings County;Brooklyn;Midwood;1322;1322 E 14th St #4b, Brooklyn, NY 11230, USA;40.6172572;-73.9611011
Brokered by BROOKLYN`S 4 U REALTY;Multi-family home for sale;1295000;3;2.0;2600.0;2506 E 65th St;Brooklyn, NY 11234;2506 E 65th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 65th Street;2506 E 65th St, Brooklyn, NY 11234, USA;40.609816;-73.9084026
Brokered by Berkshire Hathaway HomeServices Cangiano Estates;Multi-family home for sale;798888;3;2.0;1500.0;849 Rossville Ave;Staten Island, NY 10309;849 Rossville AveStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Rossville Avenue;849 Rossville Ave, Staten Island, NY 10309, USA;40.5474933;-74.2098503
Brokered by J Milo Real Estate;House for sale;529000;3;1.0;1800.0;89-22 210th Pl;Queens, NY 11427;89-22 210th PlQueens, NY 11427;United States;New York;Queens County;Queens;210th Place;89-22 210th Pl, Queens Village, NY 11427, USA;40.7212998;-73.7544395
Brokered by Homes R Us Realty of NY, Inc.;Multi-family home for sale;999998;3;;2400.0;327 Brehaut Ave;Staten Island, NY 10307;327 Brehaut AveStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Brehaut Avenue;327 Brehaut Ave, Staten Island, NY 10307, USA;40.5114943;-74.2382685
Brokered by COMPASS;Pending;499000;1;1.0;615.0;265 W 131st St Apt 5;Manhattan, NY 10027;265 W 131st St Apt 5Manhattan, NY 10027;New York;New York County;New York;Manhattan;265;265 W 131st St #5, New York, NY 10027, USA;40.8138919;-73.9476673
Brokered by RE MAX Central;Multi-family home for sale;1550000;12;7.0;3000.0;174-176 Camden Ave;Staten Island, NY 10309;174-176 Camden AveStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Camden Avenue;174 Camden Ave, Staten Island, NY 10309, USA;40.5083446;-74.2299349
Brokered by RE/MAX City Square;Co-op for sale;319000;2;1.0;2184.207862;67-41 Burns St Unit 414;Forest Hills, NY 11375;67-41 Burns St Unit 414Forest Hills, NY 11375;;Queens County;Queens;Forest Hills;6741;6741 Burns St Apt 414, Forest Hills, NY 11375, USA;40.7230399;-73.85628
Brokered by Ben Bay Realty Company of Staten Island LLC;Contingent;759000;3;4.0;1424.0;419 Ogorman Ave;Staten Island, NY 10308;419 Ogorman AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;O'Gorman Avenue;419 O'Gorman Ave, Staten Island, NY 10308, USA;40.552359;-74.14076
Brokered by JWS REALTY GROUP;Co-op for sale;245000;3;1.0;260.0;5 Tudor City Pl Apt 1818;Ny, NY 10017;5 Tudor City Pl Apt 1818Ny, NY 10017;New York;New York County;New York;Manhattan;5;5 Tudor City Pl #1818ny, New York, NY 10017, USA;40.748134;-73.9708805
Brokered by Get Listed Get Sold NYC;Multi-family home for sale;1249000;5;3.0;1548.0;2171 W 7th St;Brooklyn, NY 11223;2171 W 7th StBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;West 7th Street;2171 W 7th St, Brooklyn, NY 11223, USA;40.5946329;-73.9779295
Brokered by RE MAX Edge;Condo for sale;455000;2;1.0;939.0;449 Medina St Apt 2C;Staten Island, NY 10306;449 Medina St Apt 2CStaten Island, NY 10306;New York;Richmond County;Staten Island;Oakwood;449;449 Medina St #2c, Staten Island, NY 10306, USA;;
Brokered by RE/MAX City Square;Co-op for sale;319000;2;1.0;2184.207862;67-41 Burns St Unit 414;Forest Hills, NY 11375;67-41 Burns St Unit 414Forest Hills, NY 11375;;Queens County;Queens;Forest Hills;6741;6741 Burns St Apt 414, Forest Hills, NY 11375, USA;40.7230399;-73.85628
Brokered by RE MAX Edge;Multi-family home for sale;999900;4;2.0;2024.0;29 Bay 10th St;Brooklyn, NY 11228;29 Bay 10th StBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;Bay 10th Street;29 Bay 10th St, Brooklyn, NY 11228, USA;40.6101839;-74.009209
Brokered by JM Properties;House for sale;395000;2;1.0;666.0;170 Baden Pl;Staten Island, NY 10306;170 Baden PlStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Baden Place;170 Baden Pl, Staten Island, NY 10306, USA;40.5724498;-74.0909716
Brokered by Nestapple;Condo for sale;620000;1;1.0;430.0;112 W 72nd St Ph C;Manhattan, NY 10023;112 W 72nd St Ph CManhattan, NY 10023;New York;New York County;New York;Manhattan;112;112 W 72nd St Ph C, New York, NY 10023, USA;40.7774399;-73.9793101
Brokered by Momentum Real Estate LLC;Multi-family home for sale;1295000;4;;3264.0;643 Huguenot Ave;Staten Island, NY 10312;643 Huguenot AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Huguenot Avenue;643 Huguenot Ave, Staten Island, NY 10312, USA;40.5389259;-74.195072
Brokered by Ilite Realty Inc;Condo for sale;849000;3;2.0;1241.0;398 Kings Hwy Unit 308;Brooklyn, NY 11223;398 Kings Hwy Unit 308Brooklyn, NY 11223;New York;Kings County;Brooklyn;Gravesend;398;398 Kings Hwy #308, Brooklyn, NY 11223, USA;40.604405;-73.9751935
Brokered by Serhant;Co-op for sale;8995000;5;4.0;5500.0;38 W 26th St Unit 9TH;New York, NY 10010;38 W 26th St Unit 9THNew York, NY 10010;New York;New York County;New York;Manhattan;38;38 W 26th St #9d, New York, NY 10010, USA;40.7442721;-73.9907621
Brokered by Jnm & Associates Inc;Co-op for sale;650000;3;1.0;2184.207862;116 Cambridge Pl Apt 3C;Brooklyn, NY 11238;116 Cambridge Pl Apt 3CBrooklyn, NY 11238;New York;Kings County;Brooklyn;Clinton Hill;116;116 Cambridge Pl #3c, Brooklyn, NY 11238, USA;40.6837918;-73.9631445
Brokered by COMPASS;Condo for sale;2995000;2;2.0;1452.0;120 E 87th St Apt R26B;Manhattan, NY 10128;120 E 87th St Apt R26BManhattan, NY 10128;New York;New York County;New York;Manhattan;120;120 E 87th St #26b, New York, NY 10128, USA;40.7803919;-73.9558923
Brokered by Douglas Elliman - Bayside;Condo for sale;495000;2;1.0;800.0;83-71 116th St Unit 4E;Kew Gardens, NY 11418;83-71 116th St Unit 4EKew Gardens, NY 11418;New York;Queens County;Queens;Richmond Hill;83-71;83-71 116th St #4e, Richmond Hill, NY 11418, USA;40.7045515;-73.8356118
Brokered by NEUHAUS REALTY INC.;House for sale;675000;3;2.0;1222.0;7 Norwood Ct;Staten Island, NY 10304;7 Norwood CtStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Norwood Court;7 Norwood Ct, Staten Island, NY 10304, USA;40.6277171;-74.0860272
Brokered by COMPASS;Condo for sale;999000;3;1.0;600.0;10 W End Ave Apt 8J;Manhattan, NY 10023;10 W End Ave Apt 8JManhattan, NY 10023;New York;New York County;New York;Manhattan;10;10 West End Ave #8j, New York, NY 10023, USA;40.7717454;-73.9900505
Brokered by PPAD - Park Property Advisors;Condo for sale;2250000;2;2.0;1334.0;415 DE Graw St Unit Ph;Brooklyn, NY 11217;415 DE Graw St Unit PhBrooklyn, NY 11217;United States;New York;Kings County;Brooklyn;Degraw Street;415 Degraw St, Brooklyn, NY 11217, USA;40.6819719;-73.9903277
Brokered by RE MAX Distinguished Homes & Properties;Multi-family home for sale;1299000;9;4.0;3720.0;790 Olmstead Ave;Bronx, NY 10473;790 Olmstead AveBronx, NY 10473;United States;New York;Bronx County;The Bronx;Olmstead Avenue;790 Olmstead Ave, Bronx, NY 10473, USA;40.8227297;-73.8517272
Brokered by J. Sikar Realty;Condo for sale;429000;1;1.0;640.0;501 Surf Ave Apt 9D;Brooklyn, NY 11224;501 Surf Ave Apt 9DBrooklyn, NY 11224;Kings County;Brooklyn;Coney Island;Surf Avenue;Brightwater Towers East;Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA;40.5755355;-73.9735905
Brokered by Aschan Realty;House for sale;649999;3;2.0;2184.207862;139-32 Laurelton Pkwy;Rosedale, NY 11422;139-32 Laurelton PkwyRosedale, NY 11422;United States;New York;Queens County;Queens;Laurelton Parkway;139-32 Laurelton Pkwy, Jamaica, NY 11422, USA;40.6670008;-73.7409018
Brokered by Brown Harris Stevens - 1926 Broadway;Townhouse for sale;10995000;7;6.0;9000.0;318 W 81st St Unit Townhouse;Manhattan, NY 10024;318 W 81st St Unit TownhouseManhattan, NY 10024;United States;New York;New York County;New York;West 81st Street;318 W 81st St, New York, NY 10024, USA;40.7858802;-73.9811894
Brokered by Brown Harris Stevens - 100 Seventh Avenue;Townhouse for sale;2050000;5;4.0;3000.0;26 Rutland Rd Unit Townhouse;Brooklyn, NY 11225;26 Rutland Rd Unit TownhouseBrooklyn, NY 11225;United States;New York;Kings County;Brooklyn;Rutland Road;26 Rutland Rd, Brooklyn, NY 11225, USA;40.6586603;-73.9595973
Brokered by COMPASS;Pending;1299000;4;2.0;1456.0;100 W 119th St Apt 3A;Manhattan, NY 10026;100 W 119th St Apt 3AManhattan, NY 10026;New York;New York County;New York;Manhattan;100;100 W 119th St #3a, New York, NY 10026, USA;40.8040587;-73.9487622
Brokered by Behfar Team, Llc;House for sale;1075000;6;2.0;2200.0;1455 E 15th St;Brooklyn, NY 11230;1455 E 15th StBrooklyn, NY 11230;United States;New York;Kings County;Brooklyn;East 15th Street;1455 E 15th St, Brooklyn, NY 11230, USA;40.6141979;-73.9591151
Brokered by TRACEY REAL ESTATE;Co-op for sale;174000;1;1.0;800.0;3105 Avenue V Apt 1H;Brooklyn, NY 11229;3105 Avenue V Apt 1HBrooklyn, NY 11229;New York;Kings County;Brooklyn;Sheepshead Bay;3105;3105 Ave V #1h, Brooklyn, NY 11229, USA;40.5997081;-73.9344974
Brokered by Connie Profaci Realty;House for sale;1193000;2;2.0;1518.0;1085 Todt Hill Rd;Staten Island, NY 10304;1085 Todt Hill RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Todt Hill Road;1085 Todt Hill Rd, Staten Island, NY 10304, USA;40.5839283;-74.1113788
Brokered by Corcoran Bedford Stuyvesant;House for sale;4995000;4;4.0;2184.207862;464 1st St;Brooklyn, NY 11215;464 1st StBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;1st Street;464 1st St, Brooklyn, NY 11215, USA;40.6712943;-73.9771145
Brokered by Sotheby's International Realty - Downtown Manhattan;Townhouse for sale;12500000;9;;10500.0;180 Second Ave;New York, NY 10003;180 Second AveNew York, NY 10003;United States;New York;New York County;New York;2nd Avenue;180 2nd Ave, New York, NY 10003, USA;40.7305606;-73.9859258
Brokered by Pride Estates;House for sale;898000;5;4.0;2828.0;185 Highland Blvd;Brooklyn, NY 11207;185 Highland BlvdBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Highland Boulevard;185 Highland Blvd, Brooklyn, NY 11207, USA;40.6816001;-73.8948525
Brokered by Keller Williams NYC;Multi-family home for sale;1288000;5;3.0;1500.0;147-18 16th Rd;Whitestone, NY 11357;147-18 16th RdWhitestone, NY 11357;United States;New York;Queens County;Queens;16th Road;147-18 16th Rd, Flushing, NY 11357, USA;40.7849809;-73.8178033
Brokered by Prodigy Real Estate Inc.;House for sale;1749999;4;4.0;2600.0;106 Overlook Ave;Staten Island, NY 10304;106 Overlook AveStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Overlook Avenue;106 Overlook Ave, Staten Island, NY 10304, USA;40.595688;-74.0982331
Brokered by RE MAX Elite;Condo for sale;575000;2;2.0;1253.0;101-02 Shore Front Pkwy Unit 26A;Rockaway Park, NY 11694;101-02 Shore Front Pkwy Unit 26ARockaway Park, NY 11694;New York;Queens County;Queens;Far Rockaway;10102;10102 Shore Front Pkwy # 26a, Far Rockaway, NY 11694, USA;40.5824866;-73.8213437
Brokered by Nest Seekers International, Midtown;Condo for sale;5100000;4;2.0;2183.0;201 W 17th St Ph F;New York, NY 10011;201 W 17th St Ph FNew York, NY 10011;United States;New York;New York County;New York;West 17th Street;201 W 17th St, New York, NY 10011, USA;40.7408109;-73.998475
Brokered by COMPASS;Condo for sale;2000000;1;2.0;1321.0;108 Reade St Unit 4W;Manhattan, NY 10013;108 Reade St Unit 4WManhattan, NY 10013;New York;New York County;New York;Manhattan;108;108 Reade St #4b, New York, NY 10013, USA;;
Brokered by Keller Williams Ny Realty;Co-op for sale;170000;2;1.0;850.0;3555 Kings College Pl Apt 2G;Bronx, NY 10467;3555 Kings College Pl Apt 2GBronx, NY 10467;New York;Bronx County;The Bronx;Norwood;3555;3555 Kings College Pl #2g, Bronx, NY 10467, USA;40.8813916;-73.8757001
Brokered by Corcoran Westside Columbus;Co-op for sale;1295000;2;2.0;2100.0;28 Old Fulton St # Thf;Brooklyn, NY 11201;28 Old Fulton St # ThfBrooklyn, NY 11201;New York;Kings County;Brooklyn;Brooklyn Heights;28;Eagle Warehouse & Storage Company, 28 Old Fulton St, Brooklyn, NY 11201, USA;40.702334;-73.9937463
Brokered by KMS Realty Group, Inc.;House for sale;749000;3;2.0;1332.0;767 Brighton Ave;Staten Island, NY 10301;767 Brighton AveStaten Island, NY 10301;;New York;Richmond County;Staten Island;Brighton Avenue;767 Brighton Ave, Staten Island, NY 10301, USA;40.6333903;-74.0969828
Brokered by Momentum Real Estate Llc;Multi-family home for sale;1848000;3;4.0;3640.0;1862 84th Ave;Brooklyn, NY 11214;1862 84th AveBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;84th Street;1862 84th St, Brooklyn, NY 11214, USA;40.607214;-73.9998636
Brokered by COMPASS;Co-op for sale;465000;2;2.0;2184.207862;420 E 51st St Apt 10C;Manhattan, NY 10022;420 E 51st St Apt 10CManhattan, NY 10022;New York;New York County;New York;Manhattan;420;420 E 51st St Apartment 10e, New York, NY 10022, USA;40.754032;-73.965157
Brokered by Voro Llc;Co-op for sale;298999;2;1.0;2184.207862;229-17 87th Ave Unit Upper;Queens Village, NY 11427;229-17 87th Ave Unit UpperQueens Village, NY 11427;United States;New York;Queens County;Queens;87th Avenue;229-17 87th Ave, Queens Village, NY 11427, USA;40.7317712;-73.739171
Brokered by EXIT ALL SEASONS REALTY;Co-op for sale;209900;1;1.0;780.0;3845 Shore Pkwy Apt 5H;Brooklyn, NY 11235;3845 Shore Pkwy Apt 5HBrooklyn, NY 11235;New York;Kings County;Brooklyn;Sheepshead Bay;3845;3845 Shore Pkwy #5h, Brooklyn, NY 11235, USA;40.586901;-73.932949
Brokered by COMPASS;Co-op for sale;539000;1;1.0;2184.207862;385 E 18th St Apt 6J;Brooklyn, NY 11226;385 E 18th St Apt 6JBrooklyn, NY 11226;New York;Kings County;Brooklyn;Flatbush;385;385 E 18th St #6j, Brooklyn, NY 11226, USA;40.6419847;-73.9614428
Brokered by Douglas Elliman  -111 Fifth Ave;House for sale;2975000;3;2.0;2184.207862;474 Sterling Pl;Brooklyn, NY 11238;474 Sterling PlBrooklyn, NY 11238;United States;New York;Kings County;Brooklyn;Sterling Place;474 Sterling Pl, Brooklyn, NY 11238, USA;40.674276;-73.9626129
Brokered by Akcess24homes Inc;Multi-family home for sale;2099000;6;5.0;2184.207862;97-19 63rd Dr;Rego Park, NY 11374;97-19 63rd DrRego Park, NY 11374;United States;New York;Queens County;Queens;63rd Drive;97-19 63rd Dr, Rego Park, NY 11374, USA;40.7308373;-73.8599677
Brokered by Houlihan Lawrence Bronxville;Co-op for sale;199900;1;1.0;925.0;55 E 190th St Apt 3;Bronx, NY 10468;55 E 190th St Apt 3Bronx, NY 10468;New York;Bronx County;The Bronx;Fordham Manor;55;55 E 190th St Apt 3, Bronx, NY 10468, USA;40.863113;-73.8983227
Brokered by COMPASS;Co-op for sale;789000;2;1.0;2184.207862;400 E 77th St Apt 4E;Manhattan, NY 10075;400 E 77th St Apt 4EManhattan, NY 10075;New York;New York County;New York;Manhattan;400;400 E 77th St #4a, New York, NY 10075, USA;40.7707244;-73.9533267
Brokered by Douglas Elliman - 664 Fulton;House for sale;919000;3;2.0;1565.0;941 Newkirk Ave;Brooklyn, NY 11230;941 Newkirk AveBrooklyn, NY 11230;United States;New York;Kings County;Brooklyn;Newkirk Avenue;941 Newkirk Ave, Brooklyn, NY 11230, USA;40.6335949;-73.9678166
Brokered by Corcoran East Side;House for sale;815599;3;2.0;2184.207862;3708 Avenue M;Brooklyn, NY 11234;3708 Avenue MBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Avenue K;3708 Avenue K, Brooklyn, NY 11210, USA;40.6254509;-73.9395115
Brokered by Ashford Homes;Multi-family home for sale;1050000;4;4.0;3305.0;97 Excelsior Ave;Staten Island, NY 10309;97 Excelsior AveStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Excelsior Avenue;97 Excelsior Ave, Staten Island, NY 10309, USA;40.5209862;-74.2084631
Brokered by William Raveis Real Estate - Yorktown Heights;Co-op for sale;289999;1;1.0;830.0;2550 Independence Ave Apt 3C;Bronx, NY 10463;2550 Independence Ave Apt 3CBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2550;2550 Independence Ave #3c, Bronx, NY 10463, USA;40.8799897;-73.919862
Brokered by BHHS New York Properties;Co-op for sale;4050000;4;3.0;2184.207862;1060 Fifth Ave Unit 3C;New York, NY 10128;1060 Fifth Ave Unit 3CNew York, NY 10128;New York;New York County;New York;Manhattan;1060;1060 5th Ave #3c, New York, NY 10128, USA;40.7822029;-73.959633
Brokered by Oxford Property Group;Townhouse for sale;7750000;3;;3375.0;5622 14th Ave;Brooklyn, NY 11219;5622 14th AveBrooklyn, NY 11219;United States;New York;Kings County;Brooklyn;14th Avenue;5622 14th Ave, Brooklyn, NY 11219, USA;40.629467;-73.994672
Brokered by RE MAX Edge;Multi-family home for sale;1998000;6;3.0;3192.0;578 Ovington Ave;Brooklyn, NY 11209;578 Ovington AveBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;Ovington Avenue;578 Ovington Ave, Brooklyn, NY 11209, USA;40.631406;-74.0193512
Brokered by Douglas Elliman - 237 Smith St;Condo for sale;1250000;3;2.0;1281.0;425 14th St Unit D1 /D2;Brooklyn, NY 11215;425 14th St Unit D1 /D2Brooklyn, NY 11215;;New York County;New York;Manhattan;425;425 E 14th St d1, New York, NY 10009, USA;40.7308035;-73.9808981
Brokered by Apple Realty Group Corp;Condo for sale;680000;2;2.0;1058.0;167-09 Powell Cove Blvd Unit 26;Beechhurst, NY 11357;167-09 Powell Cove Blvd Unit 26Beechhurst, NY 11357;New York;Queens County;Queens;Flushing;16709;16709 Powells Cove Blvd #26, Flushing, NY 11357, USA;40.7942255;-73.7950678
Brokered by Winzone Realty Inc;House for sale;1299000;4;2.0;2184.207862;2066 66th St;Brooklyn, NY 11204;2066 66th StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;66th Street;2066 66th St, Brooklyn, NY 11204, USA;40.6147583;-73.9849887
Brokered by A J Realty Of Queens Inc;Multi-family home for sale;899000;4;;2184.207862;109-06 112th St;South Ozone Park, NY 11420;109-06 112th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;112th Street;109-06 112th St, Jamaica, NY 11420, USA;40.6803198;-73.8281794
Brokered by Elegran LLC;Condo for sale;845000;3;2.0;2184.207862;83-09 Talbot St Unit 5N;Kew Gardens, NY 11415;83-09 Talbot St Unit 5NKew Gardens, NY 11415;New York;Queens County;Queens;Kew Gardens;83-9;83-9 Talbot St #5n, Kew Gardens, NY 11415, USA;40.7095418;-73.8286658
Brokered by E Realty International Corp;House for sale;2098000;5;4.0;1200.0;147-48 8th Ave;Flushing, NY 11357;147-48 8th AveFlushing, NY 11357;United States;New York;Queens County;Queens;8th Avenue;147-48 8th Ave, Flushing, NY 11357, USA;40.7928436;-73.8190811
Brokered by Fillmore Real Estate;Co-op for sale;899000;2;2.0;1300.0;9201 Shore Rd Apt C507;Brooklyn, NY 11209;9201 Shore Rd Apt C507Brooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;9201;9201 Shore Rd #507, Brooklyn, NY 11209, USA;40.620502;-74.0396973
Brokered by Keller Williams Rlty Landmark;House for sale;758888;3;1.0;2184.207862;203-03 34th Ave;Bayside, NY 11361;203-03 34th AveBayside, NY 11361;United States;New York;Queens County;Queens;34th Avenue;203-03 34th Ave, Flushing, NY 11361, USA;40.7676985;-73.7850344
Brokered by Redfin Real Estate;Co-op for sale;650000;2;1.0;2184.207862;332 W 101st St Apt 2R;New York, NY 10025;332 W 101st St Apt 2RNew York, NY 10025;New York;New York County;New York;Manhattan;332;332 W 101st St #2r, New York, NY 10025, USA;40.798761;-73.9721556
Brokered by Flat Rate Realty Of Queens Ltd;Co-op for sale;169000;1;1.0;850.0;165-20 Highland Ave Unit 105;Jamaica, NY 11432;165-20 Highland Ave Unit 105Jamaica, NY 11432;New York;Queens County;Queens;Jamaica;16520;16520 Highland Ave Apt 105, Jamaica, NY 11432, USA;40.7106599;-73.7986899
Brokered by Prospes Real Estate Corp;Multi-family home for sale;1350000;5;3.0;2184.207862;58-16 83rd Pl;Middle Village, NY 11379;58-16 83rd PlMiddle Village, NY 11379;United States;New York;Queens County;Queens;83rd Place;58-16 83rd Pl, Flushing, NY 11379, USA;;
Brokered by Brown Harris Stvns Forest Hill;Co-op for sale;695000;2;2.0;2184.207862;35-25 77th St Unit A16;Jackson Heights, NY 11372;35-25 77th St Unit A16Jackson Heights, NY 11372;New York;Queens County;Queens;Flushing;35-25;Berkeley Apartments, 35-25 77th St, Flushing, NY 11372, USA;40.7507718;-73.8890157
Brokered by Douglas Elliman - Bayside;Multi-family home for sale;1499000;5;2.0;2280.0;18 Covert St;Brooklyn, NY 11207;18 Covert StBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Covert Street;18 Covert St., Brooklyn, NY 11207, USA;40.6852121;-73.9131299
Brokered by COMPASS;Pending;395000;3;;381.0;192 Water St Ste C;Brooklyn, NY 11201;192 Water St Ste CBrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;192;192 Water St STE C, Brooklyn, NY 11201, USA;40.7028922;-73.9860614
Brokered by Flat Rate Realty Of Queens Ltd;Co-op for sale;169000;1;1.0;850.0;165-20 Highland Ave Unit 105;Jamaica, NY 11432;165-20 Highland Ave Unit 105Jamaica, NY 11432;New York;Queens County;Queens;Jamaica;16520;16520 Highland Ave Apt 105, Jamaica, NY 11432, USA;40.7106599;-73.7986899
Brokered by COMPASS;Pending;395000;3;;381.0;192 Water St Ste C;Brooklyn, NY 11201;192 Water St Ste CBrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;192;192 Water St STE C, Brooklyn, NY 11201, USA;40.7028922;-73.9860614
Brokered by Corcoran West Side;Co-op for sale;445000;1;1.0;2184.207862;25 Tudor City Pl Apt 419;New York, NY 10017;25 Tudor City Pl Apt 419New York, NY 10017;10017;United States;New York;New York County;Manhattan;Tudor City, New York, NY 10017, USA;40.7488491;-73.9716161
Brokered by Coldwell Banker Advantage;Townhouse for sale;499000;3;2.0;1400.0;181 Morningstar Rd;Staten Island, NY 10303;181 Morningstar RdStaten Island, NY 10303;;New York;Richmond County;Staten Island;Morningstar Road;181 Morningstar Rd, Staten Island, NY 10303, USA;40.633314;-74.145909
Brokered by COMPASS;Co-op for sale;449000;3;1.0;2184.207862;440 E 56th St Apt 4D;Manhattan, NY 10022;440 E 56th St Apt 4DManhattan, NY 10022;New York;New York County;New York;Manhattan;440;440 E 56th St #4b, New York, NY 10022, USA;40.7568629;-73.9621341
Brokered by Hall Homes Realty, Inc.;House for sale;649000;4;2.0;1120.0;2760 Amboy Rd;Staten Island, NY 10306;2760 Amboy RdStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Amboy Road;2760 Amboy Rd, Staten Island, NY 10306, USA;40.5694974;-74.1237437
Brokered by Hometown Properties;Co-op for sale;335000;1;1.0;756.0;7901 4th Ave Apt E5;Brooklyn, NY 11209;7901 4th Ave Apt E5Brooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;7901;7901 4th Ave e5, Brooklyn, NY 11209, USA;40.6273371;-74.0262024
Brokered by Block & Lot Real Estate SVC;Multi-family home for sale;838000;8;4.0;2184.207862;155-17/19 113th Ave;Jamaica, NY 11433;155-17/19 113th AveJamaica, NY 11433;United States;New York;Queens County;Queens;113th Avenue;155-17 113th Ave, Jamaica, NY 11433, USA;40.6880649;-73.7919272
Brokered by COMPASS;Condo for sale;1495000;2;2.0;1098.0;84 Front St Apt 2B;Brooklyn, NY 11201;84 Front St Apt 2BBrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;84;84 Front St #2b, Brooklyn, NY 11201, USA;40.702357;-73.9892037
Brokered by Century Homes Realty Group LLC;Multi-family home for sale;980000;4;4.0;3068.0;262 Zerega Ave;Bronx, NY 10473;262 Zerega AveBronx, NY 10473;United States;New York;Bronx County;The Bronx;Zerega Avenue;262 Zerega Ave, Bronx, NY 10473, USA;40.8129128;-73.8461841
Brokered by RE MAX Edge;House for sale;688000;3;2.0;1344.0;2805 W 28th St;Brooklyn, NY 11224;2805 W 28th StBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;West 28th Street;2805 W 28th St, Brooklyn, NY 11224, USA;40.5773399;-73.9943294
Brokered by Budget Real Estate Nyc Inc;Multi-family home for sale;679000;6;3.0;2184.207862;1319 E 96th St;Brooklyn, NY 11236;1319 E 96th StBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;East 96th Street;1319 E 96th St, Brooklyn, NY 11236, USA;40.6398004;-73.8974592
Brokered by Keller Williams Legendary;Pending;999888;4;2.0;1900.0;29-31 159th St;Flushing, NY 11358;29-31 159th StFlushing, NY 11358;United States;New York;Queens County;Queens;159th Street;29-31 159th St, Flushing, NY 11358, USA;40.7701584;-73.8052147
Brokered by Geo Real Estate Group Inc;Co-op for sale;375000;1;1.0;500.0;240 E 55th St Apt 8E;New York, NY 10022;240 E 55th St Apt 8ENew York, NY 10022;New York;New York County;New York;Manhattan;240;240 E 55th St #8e, New York, NY 10022, USA;40.7581216;-73.9670704
Brokered by Netter Real Estate Inc;House for sale;848724;2;2.0;2184.207862;53-15 37th Rd;Woodside, NY 11377;53-15 37th RdWoodside, NY 11377;United States;New York;Queens County;Queens;37th Road;53-15 37th Rd, Flushing, NY 11377, USA;40.7511112;-73.9089639
Brokered by Brown Harris Stevens;Townhouse for sale;1595000;3;8.0;2184.207862;511 W 144th St Unit Townhouse;Manhattan, NY 10031;511 W 144th St Unit TownhouseManhattan, NY 10031;;New York;New York County;New York;West 144th Street;511 W 144th St, New York, NY 10031, USA;40.8250069;-73.9486453
